Level,Item Number,Partnumber,Manufacturer P/N,Quantity
3,1,61-00457,687112182122,1
3,2,61-00781,ATE-1C-V-T/R,1
3,3,61-00288,AXE530127,1
3,4,61-00314,SST-10-IRD-B50-S940,32
3,5,61-00265,SST-10-IRD-B50-T850,32
3,6,61-00609,C0603-100n-50V-20%-X5R,18
3,7,61-00620,C0603-100p-50V-10%-X7R,1
3,8,61-00598,C0603-1uF-25V-20%-X5R,112
3,9,61-00608,C0603-27p-50V-20%-C0G,1
3,10,61-00623,C0805-1u-25V-20%-X5R,9
3,11,61-00625,C0805-22u-10V-20%-X5R,4
3,12,61-00624,C0805-4u7-16V-20%-X5R,1
3,13,61-00626,C1206-22u-16V-20%-X5R,2
3,14,61-00629,C1210-4u7-50V-20%-X5R,18
3,15,61-00284,UCC27517DBVT,5
3,16,61-00290,DF37NC-30DS-0.4V(51),1
3,17,61-00458,TMP112NAIDRLR,1
3,18,61-00192,LM393BIDSGR,3
3,19,61-00279,74279269,1
3,20,61-00313,LZ1-00R302-0000,13
3,21,61-00282,MEC6-120-02-L-DV-A,2
3,22,61-00599,R0603-0R-63mW-1%-400ppm-50V,15
3,23,61-00649,R0603-100R-63mW-1%-400ppm-50V,1
3,24,61-00652,R0603-10k-63mW-1%-400ppm-50V,4
3,25,61-00658,R0603-1k1-63mW-1%-400ppm-50V,1
3,26,61-00667,R0603-27R-63mW-1%-400ppm-50V,15
3,27,61-00689,R0603-27k-63mW-1%-400ppm-50V,1
3,28,61-00677,R0603-56k-63mW-1%-400ppm-50V,10
3,29,61-00704,R0603-91k-63mW-1%-400ppm-50V,1
3,30,61-00792,CRCW121015R0FKEAHP,3
3,31,61-00730,CRCW12103R90FKEAHP,16
3,32,61-00448,SK6805-EC15,233
3,33,61-00250,"NX7002AK,215",1
3,34,61-00198,PMV30ENEAR,5
3,35,61-00150,824001,7
3,36,61-00292,SN74LVC112ADGVR,1
3,37,61-00269,VL53L1CBV0FY/1,1
3,38,61-00170,150060GS75000,1
3,39,61-00079,150060RS75000-REV,1
3,40,61-00460,BU27030NUC-E2,1
3,41,63-00021,"PCB (UNPOPULATED), FRONT UNIT, EVT",1
2,4,81-00016,"PCBA, BATTERY CONNECTOR to ORB, PEARL ORB",1
3,1,62-00026,645005113322,1
3,2,61-00504,64500113722,5
3,3,61-00374,9774027151R,2
3,4,72-00019,UEBK-30256,1
3,5,61-00722,"Wire, TPC, 18 AWG, 1,58mm +/- 0,05mm, max. 20,00 Ohm/km at 20°C",785.0
3,6,63-00018,"PCB (UNPOPULATED), BATTERY CONNECTOR, EVT",1
2,7,81-00023,"PCBA, OPERATOR BUTTON, PEARL ORB",1
3,1,61-00270,430451025836,1
3,2,62-00043,61300411021,1
3,3,61-00625,C0805-22u-10V-20%-X5R,2
3,4,61-00599,R0603-0R-63mW-1%-400ppm-50V,1
3,5,61-00667,R0603-27R-63mW-1%-400ppm-50V,2
3,6,61-00448,SK6805-EC15,5
3,7,63-00016,"PCB (UNPOPULATED), OPERATOR BUTTON",1
2,9,61-00149,"6,00 MTP",1
2,10,61-00355,WDS250G2B0C,1
2,11,65-00003,VK000434,2
2,12,81-00031,Flashed Jetson Xavier NX Module,1
3,1,65-00008,"Jetson Xavier NX Module, 8GB",1
3,2,99-00001,OS Software,1
2,13,65-00014,Intel® Wi-Fi 6 AX200,1
2,15,65-00040,IMX219-D120 (40cm),1
2,17,75-00006,"LIQUID LENS, EL-12-30, OPTOTUNE",1
2,18,75-00016,MC201S,1
2,19,75-00019,2065600300,1
2,20,75-00035,VSM1069B,2
2,22,75-00059,1461531250,1
2,23,61-00454,687622100002,1
2,24,61-00455,687622050002,1
2,25,65-00042,Everflow R124028BU,1
2,26,82-00012,"ASM, main switch bridge",1
